City,State,2020census,Change,2020 population density
New Orleans,Louisiana,383997,+11.68%,2265
Tucson,Arizona,542629,+4.33%,2252
Wilmington,North Carolina,115451,+8.43%,2246
Edinburg,Texas,100243,+30.02%,2243
Odessa,Texas,114428,+14.50%,2239
Gainesville,Florida,141085,+13.45%,2232
League City,Texas,114392,+36.90%,2230
Greeley,Colorado,108795,+17.12%,2225
Menifee,California,102527,+32.26%,2205
Rochester,Minnesota,121395,+13.70%,2187
West Palm Beach,Florida,117415,+17.51%,2182
Lafayette,Louisiana,121374,+0.62%,2175
Memphis,Tennessee,633104,−2.13%,2132
Tulsa,Oklahoma,413066,+5.40%,2091
Topeka,Kansas,126587,−0.70%,2062
Springfield,Missouri,169176,+6.07%,2053
High Point,North Carolina,114059,+9.28%,2022
Pueblo,Colorado,111876,+4.95%,2019
Corpus Christi,Texas,317863,+4.14%,1960
Amarillo,Texas,200393,+5.09%,1959
Tallahassee,Florida,196169,+8.16%,1944
Knoxville,Tennessee,190740,+6.63%,1933
Cedar Rapids,Iowa,137710,+9.01%,1910
Lubbock,Texas,257141,+12.01%,1910
Columbia,Missouri,126254,+16.36%,1899
Winston–Salem,North Carolina,249545,+8.68%,1881
Virginia Beach,Virginia,459470,+4.90%,1878
Springfield,Illinois,114394,−1.60%,1872
Tyler,Texas,105995,+9.39%,1843
Lancaster,California,173516,+10.78%,1840
Cape Coral,Florida,194016,+25.74%,1830
Victorville,California,134810,+16.31%,1829
Salt Lake City,Utah,199723,+7.12%,1811
Broken Arrow,Oklahoma,113540,+14.86%,1802
Midland,Texas,132524,+19.23%,1755
Shreveport,Louisiana,187593,−5.88%,1740
Port St. Lucie,Florida,204851,+24.45%,1719
Lakeland,Florida,112641,+15.62%,1702
Little Rock,Arkansas,202591,+4.69%,1688
Clarksville,Tennessee,166722,+25.42%,1677
Concord,North Carolina,105240,+33.10%,1657
Kansas City,Missouri,508090,+10.51%,1615
Palmdale,California,169450,+10.93%,1597
Davenport,Iowa,101724,+2.05%,1594
Lee's Summit,Missouri,101108,+10.67%,1582
Independence,Missouri,123011,+5.29%,1577
Waco,Texas,138486,+10.96%,1561
North Charleston,South Carolina,114852,+17.83%,1480
Denton,Texas,139869,+23.36%,1451
Nashville,Tennessee,689447,+14.67%,1449
Las Cruces,New Mexico,111385,+14.10%,1448
Wichita Falls,Texas,102316,−2.14%,1421
Brownsville,Texas,186738,+6.69%,1420
Fayetteville,North Carolina,208501,+3.96%,1406
Beaumont,Texas,115282,−2.55%,1397
Palm Bay,Florida,119760,+16.06%,1386
Savannah,Georgia,147780,+8.43%,1384
Jackson,Mississippi,153701,−11.42%,1376
Birmingham,Alabama,200733,−5.42%,1366
Mobile,Alabama,187041,−4.14%,1341
Scottsdale,Arizona,241361,+11.03%,1312
Charleston,South Carolina,150227,+25.10%,1309
Surprise,Arizona,143148,+21.81%,1298
Chattanooga,Tennessee,181099,+8.01%,1272
Jacksonville,Florida,949611,+15.55%,1271
South Fulton,Georgia,107436,[ac],1261
Kansas City,Kansas,156607,+7.42%,1256
Montgomery,Alabama,200603,−2.51%,1255
Abilene,Texas,125182,+6.94%,1173
Lexington,Kentucky,322570,+9.05%,1137
Oklahoma City,Oklahoma,681054,+17.42%,1123
Athens,Georgia,127315,+10.28%,1095
Peoria,Arizona,190985,+23.96%,1085
Rio Rancho,New Mexico,104046,+18.88%,1006
Columbia,South Carolina,136632,+5.69%,999
Huntsville,Alabama,215006,+19.38%,986
Columbus,Georgia,206922,+8.97%,956
Chesapeake,Virginia,249422,+12.25%,737
Norman,Oklahoma,128026,+15.42%,716
Augusta,Georgia,202081,+3.18%,668
Macon,Georgia,157346,+72.24%,631
Anchorage,Alaska,291247,−0.20%,171
